Well,L1,L2,L3,L4,L5,L6
A01,P1-Sample1,P1-Sample1,P1-Sample1,,,
A02,P1-Sample2,P1-Sample2,P1-Sample2,,,
A03,P1-Sample3,P1-Sample3,P1-Sample3,,,
A04,P1-Sample4,P1-Sample4,P1-Sample4,,,
A05,P1-Sample5,P1-Sample5,P1-Sample5,,,
A06,P1-Sample6,P1-Sample6,P1-Sample6,,,
A07,P1-Sample7,P1-Sample7,P1-Sample7,,,
A08,P1-Sample8,P1-Sample8,P1-Sample8,,,
A09,P1-Sample9,P1-Sample9,P1-Sample9,,,
A10,P1-Sample10,P1-Sample10,P1-Sample10,,,
A11,P1-Sample11,P1-Sample11,P1-Sample11,,,
A12,P1-Sample12,P1-Sample12,P1-Sample12,,,
B01,,,,P1-Sample1,P1-Sample1,P1-Sample1
B02,,,,P1-Sample2,P1-Sample2,P1-Sample2
B03,,,,P1-Sample3,P1-Sample3,P1-Sample3
B04,,,,P1-Sample4,P1-Sample4,P1-Sample4
B05,,,,P1-Sample5,P1-Sample5,P1-Sample5
B06,,,,P1-Sample6,P1-Sample6,P1-Sample6
B07,,,,P1-Sample7,P1-Sample7,P1-Sample7
B08,,,,P1-Sample8,P1-Sample8,P1-Sample8
B09,,,,P1-Sample9,P1-Sample9,P1-Sample9
B10,,,,P1-Sample10,P1-Sample10,P1-Sample10
B11,,,,P1-Sample11,P1-Sample11,P1-Sample11
B12,,,,P1-Sample12,P1-Sample12,P1-Sample12
C01,,,,,,
C02,,,,,,
C03,,,,,,
C04,,,,,,
C05,,,,,,
C06,,,,,,
C07,,,,,,
C08,,,,,,
C09,,,,,,
C10,,,,,,
C11,,,,,,
C12,,,,,,
D01,,,,,,
D02,,,,,,
D03,,,,,,
D04,,,,,,
D05,,,,,,
D06,,,,,,
D07,,,,,,
D08,,,,,,
D09,,,,,,
D10,,,,,,
D11,,,,,,
D12,,,,,,
E01,,,,,,
E02,,,,,,
E03,,,,,,
E04,,,,,,
E05,,,,,,
E06,,,,,,
E07,,,,,,
E08,,,,,,
E09,,,,,,
E10,,,,,,
E11,,,,,,
E12,,,,,,
F01,,,,,,
F02,,,,,,
F03,,,,,,
F04,,,,,,
F05,,,,,,
F06,,,,,,
F07,,,,,,
F08,,,,,,
F09,,,,,,
F10,,,,,,
F11,,,,,,
F12,,,,,,
G01,,,,,,
G02,,,,,,
G03,,,,,,
G04,,,,,,
G05,,,,,,
G06,,,,,,
G07,,,,,,
G08,,,,,,
G09,,,,,,
G10,,,,,,
G11,,,,,,
G12,,,,,,
H01,,,,,,
H02,,,,,,
H03,,,,,,
H04,,,,,,
H05,,,,,,
H06,,,,,,
H07,,,,,,
H08,,,,,,
H09,,,,,,
H10,,,,,,
H11,,,,,,
H12,,,,,,
