Barcode,C1,C2,C3,C4,C5,C6,C7
MIXC-7S-7C1,FCR3;0.7,V1S;0.05,W2;0.05,U659;0.05,D10;0.05,D6;0.05,HB3;0.05
MIXC-7S-7C2,FCR3;0.88,V1S;0.02,W2;0.02,U659;0.02,D10;0.02,D6;0.02,HB3;0.02
MIXC-7S-7C3,FCR3;0.94,V1S;0.01,W2;0.01,U659;0.01,D10;0.01,D6;0.01,HB3;0.01
MIXC-7S-7C4,FCR3;0.97,V1S;0.005,W2;0.005,U659;0.005,D10;0.005,D6;0.005,HB3;0.005
MIXC-DS1-DC10,FCR3;0.98,W2;0.02,,,,,
MIXC-DS1-DC11,FCR3;0.99,W2;0.01,,,,,
MIXC-DS1-DC3,FCR3;0.05,W2;0.95,,,,,
MIXC-DS1-DC4,FCR3;0.1,W2;0.9,,,,,
MIXC-DS1-DC5,FCR3;0.4,W2;0.6,,,,,
MIXC-DS1-DC6,FCR3;0.5,W2;0.5,,,,,
MIXC-DS1-DC7,FCR3;0.6,W2;0.4,,,,,
MIXC-DS1-DC8,FCR3;0.9,W2;0.1,,,,,
MIXC-DS1-DC9,FCR3;0.95,W2;0.05,,,,,
MIXC-DS2-DC1,V1S;0.01,U659;0.99,,,,,
MIXC-DS2-DC10,V1S;0.98,U659;0.02,,,,,
MIXC-DS2-DC11,V1S;0.99,U659;0.01,,,,,
MIXC-DS2-DC2,V1S;0.02,U659;0.98,,,,,
MIXC-DS2-DC3,V1S;0.05,U659;0.95,,,,,
MIXC-DS2-DC4,V1S;0.1,U659;0.9,,,,,
MIXC-DS2-DC5,V1S;0.4,U659;0.6,,,,,
MIXC-DS2-DC6,V1S;0.5,U659;0.5,,,,,
MIXC-DS2-DC7,V1S;0.6,U659;0.4,,,,,
MIXC-DS2-DC8,V1S;0.9,U659;0.1,,,,,
MIXC-DS2-DC9,V1S;0.95,U659;0.05,,,,,
MIXC-DS3-DC1,V1S;0.01,FCR3;0.99,,,,,
MIXC-DS3-DC10,V1S;0.98,FCR3;0.02,,,,,
MIXC-DS3-DC11,V1S;0.99,FCR3;0.01,,,,,
MIXC-DS3-DC2,V1S;0.02,FCR3;0.98,,,,,
MIXC-DS3-DC3,V1S;0.05,FCR3;0.95,,,,,
MIXC-DS3-DC4,V1S;0.1,FCR3;0.9,,,,,
MIXC-DS3-DC5,V1S;0.4,FCR3;0.6,,,,,
MIXC-DS3-DC6,V1S;0.5,FCR3;0.5,,,,,
MIXC-DS3-DC7,V1S;0.6,FCR3;0.4,,,,,
